Date, na,Open,High,Low,Close,Volume
2015.08.09,00:00,0.98184,0.98378,0.98122,0.98372,2087
2015.08.10,00:00,0.98372,0.98903,0.98026,0.98362,57892
2015.08.11,00:00,0.98363,0.99022,0.98012,0.98801,73788
2015.08.12,00:00,0.98800,0.98888,0.96764,0.97540,79600
2015.08.13,00:00,0.97540,0.97935,0.97291,0.97543,46621
2015.08.14,00:00,0.97544,0.97859,0.97269,0.97565,41147
2015.08.16,00:00,0.97528,0.97722,0.97528,0.97707,1454
2015.08.17,00:00,0.97707,0.97977,0.97411,0.97829,46103
2015.08.18,00:00,0.97829,0.97943,0.97508,0.97741,45850
2015.08.19,00:00,0.97741,0.97750,0.96417,0.96573,58879
2015.08.20,00:00,0.96573,0.96708,0.95824,0.95915,60937
2015.08.21,00:00,0.95915,0.95932,0.94554,0.94608,55798
2015.08.23,00:00,0.94604,0.94799,0.94517,0.94725,2624
2015.08.24,00:00,0.94725,0.94780,0.92572,0.93298,88681
2015.08.25,00:00,0.93300,0.95051,0.93143,0.93888,81490
2015.08.26,00:00,0.93887,0.95510,0.93839,0.95199,100246
2015.08.27,00:00,0.95198,0.96714,0.95114,0.96542,77702
2015.08.28,00:00,0.96543,0.96660,0.95776,0.96196,71835
2015.08.30,00:00,0.96227,0.96344,0.96093,0.96119,2987
2015.08.31,00:00,0.96118,0.96892,0.95864,0.96518,47863
2015.09.01,00:00,0.96518,0.96518,0.95685,0.96010,82016
2015.09.02,00:00,0.96011,0.97024,0.95982,0.97009,54294
2015.09.03,00:00,0.97008,0.97699,0.96813,0.97391,69682
2015.09.04,00:00,0.97393,0.97694,0.96828,0.97156,63558
2015.09.06,00:00,0.97158,0.97228,0.97098,0.97180,1074
2015.09.07,00:00,0.97182,0.97633,0.97065,0.97583,48938
2015.09.08,00:00,0.97582,0.98208,0.96988,0.97795,43468
2015.09.09,00:00,0.97794,0.98233,0.97150,0.97525,64312
2015.09.10,00:00,0.97519,0.97925,0.97004,0.97320,70173
2015.09.11,00:00,0.97322,0.97957,0.96812,0.96849,40679
2015.09.13,00:00,0.96884,0.96921,0.96798,0.96902,1362
2015.09.14,00:00,0.96901,0.97188,0.96667,0.96832,36170
2015.09.15,00:00,0.96831,0.97629,0.96697,0.97421,36335
2015.09.16,00:00,0.97421,0.97621,0.96684,0.97028,52810
2015.09.17,00:00,0.97028,0.97239,0.95898,0.96196,61648
2015.09.18,00:00,0.96197,0.97043,0.95269,0.96790,63978
2015.09.20,00:00,0.96928,0.97014,0.96849,0.96934,3710
2015.09.21,00:00,0.96935,0.97396,0.96419,0.97195,54669
2015.09.22,00:00,0.97195,0.97563,0.97063,0.97532,54425
2015.09.23,00:00,0.97533,0.98004,0.97345,0.97913,62611
2015.09.24,00:00,0.97916,0.98033,0.96667,0.97810,50301
2015.09.25,00:00,0.97814,0.98427,0.97429,0.97839,60553
2015.09.27,00:00,0.97827,0.97972,0.97730,0.97937,2135
2015.09.28,00:00,0.97937,0.98152,0.97212,0.97475,43539
2015.09.29,00:00,0.97469,0.97472,0.96862,0.97110,50163
2015.09.30,00:00,0.97111,0.97753,0.97084,0.97410,63135
2015.10.01,00:00,0.97414,0.97881,0.97211,0.97631,41130
2015.10.02,00:00,0.97680,0.97941,0.96440,0.97089,53631
2015.10.04,00:00,0.97110,0.97224,0.97040,0.97125,3357
2015.10.05,00:00,0.97137,0.97672,0.96850,0.97545,49903
2015.10.06,00:00,0.97545,0.97665,0.96613,0.96743,56783
2015.10.07,00:00,0.96741,0.97389,0.96475,0.97331,67020
2015.10.08,00:00,0.97331,0.97331,0.96224,0.96628,63049
2015.10.09,00:00,0.96622,0.96749,0.95859,0.96119,56011
2015.10.11,00:00,0.96106,0.96160,0.96011,0.96126,1499
2015.10.12,00:00,0.96126,0.96303,0.95942,0.96289,34657
2015.10.13,00:00,0.96290,0.96452,0.95540,0.95833,52918
2015.10.14,00:00,0.95830,0.95834,0.94832,0.94958,51364
2015.10.15,00:00,0.94958,0.95522,0.94753,0.95148,55133
2015.10.16,00:00,0.95149,0.95529,0.94962,0.95330,42705
2015.10.18,00:00,0.95295,0.95414,0.95208,0.95303,1346
